feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
IFI27	disease__ontology_label	COVID-19	2.21529851172272	0.346767585208858	4.03981843178599e-08	0.000291109316194498	CPLM	1.455	58	45	22
TRIM17	disease__ontology_label	long COVID-19	1.92466665330762	0.343737788161368	7.42452476435855e-07	0.00267505627259839	CPLM	1.01	58	7	88
IFI6	disease__ontology_label	COVID-19	3.30988874429468	0.641829832599927	3.66737583594404e-06	0.00880903675793759	CPLM	1.49	58	30	48
