feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
TUBA4A	sex	male	-0.311032928660854	0.481460252726945	0.520905092765777	0.874720372639313	CPLM	1.197	58	13	78
PTPN3	sex	male	0.20610130072723	0.319259502876904	0.521200536078752	0.874720372639313	CPLM	1.421	58	39	33
ADCY2	sex	male	-0.376369642754117	0.58340766539062	0.521481920740839	0.874720372639313	CPLM	1.139	58	14	76
RBM28	sex	male	-0.270700447290506	0.41870592267552	0.520585699436212	0.874720372639313	CPLM	1.168	58	19	67
CLEC7A	sex	male	0.653478772179841	1.01589405923158	0.522684208141963	0.87490415885505	CPLM	1.304	58	16	72
MAPK8IP3	sex	male	-0.253897117091705	0.394294329441328	0.522250860621749	0.87490415885505	CPLM	1.269	58	29	50
CSF2RA	sex	male	1.602598814799	2.4907009296436	0.522569573809962	0.87490415885505	CPLM	1.241	58	7	88
GNE	sex	male	0.325179966544408	0.506404275039902	0.523405570056492	0.875225583838892	CPLM	1.464	58	29	50
PTAFR	sex	male	-0.611239588924867	0.952345110154935	0.523604980839504	0.875225583838892	CPLM	1.199	58	20	66
AQP5	sex	male	-0.335709570816804	0.523648622567313	0.524074809448377	0.875401733167596	CPLM	1.573	58	23	60
PSMA2	sex	male	0.582482820709681	0.912682846588209	0.525938733186894	0.877338978210694	CPLM	1.01	58	13	78
UBE2D1	sex	male	0.296365185336166	0.464399458097636	0.525965082690841	0.877338978210694	CPLM	1.2	58	23	60
ABCA12	sex	male	0.44920485561732	0.705353910494577	0.52681726437947	0.878150637778963	CPLM	1.332	58	10	83
KLF6	sex	male	-0.215038525827598	0.33832212271299	0.527624240888982	0.878885871439206	CPLM	1.516	58	41	29
HIST1H2AC	sex	male	0.288659478519157	0.455927904577622	0.529229011421424	0.880115056883337	CPLM	1.477	58	27	53
TP53I3	sex	male	0.366684438282468	0.578760339945118	0.52894161269341	0.880115056883337	CPLM	1.522	58	27	53
AJAP1	sex	male	-0.563583380789635	0.891461211577758	0.529827798606705	0.880115056883337	CPLM	1.389	58	7	88
UVSSA	sex	male	-0.269432306799552	0.425821863239351	0.529482160177189	0.880115056883337	CPLM	1.01	58	24	59
EPS8L1	sex	male	0.258174852902915	0.409943544604702	0.531398825550875	0.882114705579268	CPLM	1.538	58	36	38
ANLN	sex	male	-0.676077458446874	1.07589864988956	0.532307057443246	0.882516751190764	CPLM	1.263	58	6	90
SKIL	sex	male	-0.21786028568282	0.346865429566805	0.532502744907466	0.882516751190764	CPLM	1.184	58	33	43
OXNAD1	sex	male	0.328502685196115	0.523332427872627	0.532743251135141	0.882516751190764	CPLM	1.01	58	17	71
PDP1	sex	male	0.34028919531505	0.544816581275476	0.534774138146793	0.885270489199585	CPLM	1.481	58	31	47
GPR87	sex	male	-0.233865206650563	0.375276889518053	0.535695874296203	0.886185599214517	CPLM	1.133	58	18	69
BZW1	sex	male	0.196958335136873	0.316534264230285	0.536313518639819	0.886596745886336	CPLM	1.356	58	39	33
SLPI	sex	male	0.191058763663098	0.307779036798043	0.537272039761969	0.886892923417784	CPLM	1.635	58	49	16
SMC6	sex	male	0.263954931163146	0.425090217623461	0.537159278507783	0.886892923417784	CPLM	1.211	58	21	64
TUBA1C	sex	male	0.248811784533358	0.401138833677437	0.537600373229098	0.886892923417784	CPLM	1.302	58	25	57
RPL22L1	sex	male	-0.421989216130867	0.681425336684523	0.538247029504641	0.887350284742723	CPLM	1.01	58	15	74
WDR54	sex	male	-0.193265826667008	0.312802015974083	0.539176541211005	0.88748017239298	CPLM	1.33	58	24	59
MRNIP	sex	male	0.265262248266134	0.429602435745975	0.539434243003227	0.88748017239298	CPLM	1.235	58	39	33
ZFHX4	sex	male	-0.529847766856145	0.856723925514527	0.538780979813594	0.88748017239298	CPLM	1.118	58	8	86
PKP1	sex	male	-0.517779593893521	0.840458478757836	0.540345808845692	0.888371411942061	CPLM	1.232	58	6	90
SPARCL1	sex	male	-0.660412780857322	1.07408666548166	0.541137734260884	0.889064868464189	CPLM	1.354	58	7	88
ALMS1	sex	male	-0.231388842468252	0.376924989407388	0.541776745384611	0.889506317439395	CPLM	1.375	58	27	53
RAB3B	sex	male	-0.324857888625943	0.530022629530117	0.542414958134525	0.889945853442029	CPLM	1.372	58	18	69
SIPA1L2	sex	male	0.201497198435302	0.329389968086758	0.543193115783433	0.890614241714543	CPLM	1.149	58	24	59
RHOB	sex	male	-0.268648616578298	0.439723082567747	0.543704949471906	0.890845353773205	CPLM	1.425	58	32	45
FOSL1	sex	male	0.628518362797369	1.03392660095603	0.545714933607644	0.892920484009238	CPLM	1.334	58	8	86
RBBP8	sex	male	0.224689261954878	0.369578518064286	0.545671297319455	0.892920484009238	CPLM	1.124	58	24	59
POMT2	sex	male	-0.351413676166506	0.578964628528713	0.546324537134956	0.893309420148512	CPLM	1.352	58	21	64
STOM	sex	male	-0.29382726903965	0.484677540976945	0.546810068424303	0.893495091398079	CPLM	1.364	58	28	52
LPIN1	sex	male	0.256355319407316	0.42427969529709	0.54814217468391	0.894454825808935	CPLM	1.241	58	31	47
GIPR	sex	male	-0.282187733392425	0.466666494040656	0.547828570040728	0.894454825808935	CPLM	1.261	58	18	69
RASSF8	sex	male	-0.441187012352051	0.731017975892523	0.548596951313627	0.894589190125819	CPLM	1.142	58	6	90
CEMIP2	sex	male	0.184311995007724	0.305895335985448	0.549251721269227	0.895049277129364	CPLM	1.184	58	32	45
HLADRB5	sex	male	-0.336585313778709	0.579426899562921	0.563642869689178	0.896022257806647	CPLM	1.444	58	18	69
DNAH7	sex	male	-0.235297499612592	0.393585858147836	0.552363341139411	0.896022257806647	CPLM	1.397	58	26	55
PNP	sex	male	0.224941740556653	0.387344504968122	0.563753745274066	0.896022257806647	CPLM	1.199	58	24	59
HERPUD1	sex	male	-0.276463588391278	0.470557528824946	0.559213868501751	0.896022257806647	CPLM	1.428	58	39	33
